"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Product page","0","0","7","0","0"
"","","Search field","0","0","6","0","0"
"","","Navigation","0","0","26","0","0"
"","","Cart preview","0","0","4","0","0"
"","","Cart","0","0","4","0","0"
"","","","0","0","1","0","1"
