"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Navigation","0","0","26","0","0"
"","","Cart","0","0","4","0","0"
"","","Cart preview","0","0","4","0","0"
"","","","0","0","1","0","1"
"","","Search field","0","0","6","0","0"
"","","Product page","0","0","7","0","0"
