"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 14:55:03 GMT 2024","Thu Jun 06 14:55:06 GMT 2024","2945","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithDropdown","testNavigationBarMenuWithDropdown","TC_02 Verify the Store navigation menu options via dropdown"
"passed","Thu Jun 06 14:54:42 GMT 2024","Thu Jun 06 14:54:42 GMT 2024","8","Surefire suite","Surefire test","DependenciesTest","DependenciesTest","testDependencies","testDependencies",""
"passed","Thu Jun 06 14:54:56 GMT 2024","Thu Jun 06 14:54:59 GMT 2024","2854","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testComponentsDropdownNavigation","testComponentsDropdownNavigation","TC_04 Verify the 'Components' category dropdown options navigation"
"passed","Thu Jun 06 14:54:50 GMT 2024","Thu Jun 06 14:54:53 GMT 2024","3132","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testComponentsDropdownNavigation","testComponentsDropdownNavigation","TC_04 Verify the 'Components' category dropdown options navigation"
"passed","Thu Jun 06 14:54:59 GMT 2024","Thu Jun 06 14:55:02 GMT 2024","3396","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithDropdown","testNavigationBarMenuWithDropdown","TC_02 Verify the Store navigation menu options via dropdown"
"passed","Thu Jun 06 14:54:53 GMT 2024","Thu Jun 06 14:54:56 GMT 2024","2833","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testComponentsDropdownNavigation","testComponentsDropdownNavigation","TC_04 Verify the 'Components' category dropdown options navigation"
"passed","Thu Jun 06 14:55:23 GMT 2024","Thu Jun 06 14:55:25 GMT 2024","2121","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testOpenStoreBaseURL","testOpenStoreBaseURL","TC_01 Verify the Store base URL"
"passed","Thu Jun 06 14:55:20 GMT 2024","Thu Jun 06 14:55:23 GMT 2024","2725","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithoutDropdown","testNavigationBarMenuWithoutDropdown","TC_03 Verify the Store navigation menu options without dropdown"
"passed","Thu Jun 06 14:55:09 GMT 2024","Thu Jun 06 14:55:12 GMT 2024","2756","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithDropdown","testNavigationBarMenuWithDropdown","TC_02 Verify the Store navigation menu options via dropdown"
"passed","Thu Jun 06 14:55:15 GMT 2024","Thu Jun 06 14:55:17 GMT 2024","2150","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithoutDropdown","testNavigationBarMenuWithoutDropdown","TC_03 Verify the Store navigation menu options without dropdown"
"passed","Thu Jun 06 14:54:43 GMT 2024","Thu Jun 06 14:54:46 GMT 2024","3334","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testComponentsDropdownNavigation","testComponentsDropdownNavigation","TC_04 Verify the 'Components' category dropdown options navigation"
"passed","Thu Jun 06 14:55:12 GMT 2024","Thu Jun 06 14:55:15 GMT 2024","2688","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithoutDropdown","testNavigationBarMenuWithoutDropdown","TC_03 Verify the Store navigation menu options without dropdown"
"passed","Thu Jun 06 14:55:17 GMT 2024","Thu Jun 06 14:55:20 GMT 2024","2825","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithoutDropdown","testNavigationBarMenuWithoutDropdown","TC_03 Verify the Store navigation menu options without dropdown"
"passed","Thu Jun 06 14:55:06 GMT 2024","Thu Jun 06 14:55:09 GMT 2024","2844","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithDropdown","testNavigationBarMenuWithDropdown","TC_02 Verify the Store navigation menu options via dropdown"
"unknown","Thu Jun 06 14:54:42 GMT 2024","Thu Jun 06 14:54:42 GMT 2024","2","Surefire suite","Surefire test","DependenciesTest","DependenciesTest","testIgnoredTest","testIgnoredTest",""
"passed","Thu Jun 06 14:54:47 GMT 2024","Thu Jun 06 14:54:49 GMT 2024","2687","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testComponentsDropdownNavigation","testComponentsDropdownNavigation","TC_04 Verify the 'Components' category dropdown options navigation"
