"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 15:14:57 GMT 2024","Thu Jun 06 15:15:01 GMT 2024","3882","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testComponentsDropdownNavigation","testComponentsDropdownNavigation","TC_04 Verify the 'Components' category dropdown options navigation"
"passed","Thu Jun 06 15:15:05 GMT 2024","Thu Jun 06 15:15:09 GMT 2024","3387","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testComponentsDropdownNavigation","testComponentsDropdownNavigation","TC_04 Verify the 'Components' category dropdown options navigation"
"passed","Thu Jun 06 15:15:14 GMT 2024","Thu Jun 06 15:15:21 GMT 2024","7592","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithDropdown","testNavigationBarMenuWithDropdown","TC_02 Verify the Store navigation menu options via dropdown"
"passed","Thu Jun 06 15:15:01 GMT 2024","Thu Jun 06 15:15:05 GMT 2024","4305","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testComponentsDropdownNavigation","testComponentsDropdownNavigation","TC_04 Verify the 'Components' category dropdown options navigation"
"unknown","Thu Jun 06 15:14:47 GMT 2024","Thu Jun 06 15:14:47 GMT 2024","2","Surefire suite","Surefire test","DependenciesTest","DependenciesTest","testIgnoredTest","testIgnoredTest",""
"passed","Thu Jun 06 15:15:58 GMT 2024","Thu Jun 06 15:16:01 GMT 2024","3228","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testOpenStoreBaseURL","testOpenStoreBaseURL","TC_01 Verify the Store base URL"
"passed","Thu Jun 06 15:15:09 GMT 2024","Thu Jun 06 15:15:14 GMT 2024","4706","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithDropdown","testNavigationBarMenuWithDropdown","TC_02 Verify the Store navigation menu options via dropdown"
"passed","Thu Jun 06 15:14:52 GMT 2024","Thu Jun 06 15:14:56 GMT 2024","4128","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testComponentsDropdownNavigation","testComponentsDropdownNavigation","TC_04 Verify the 'Components' category dropdown options navigation"
"passed","Thu Jun 06 15:15:52 GMT 2024","Thu Jun 06 15:15:58 GMT 2024","5790","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithoutDropdown","testNavigationBarMenuWithoutDropdown","TC_03 Verify the Store navigation menu options without dropdown"
"passed","Thu Jun 06 15:15:35 GMT 2024","Thu Jun 06 15:15:43 GMT 2024","7727","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithoutDropdown","testNavigationBarMenuWithoutDropdown","TC_03 Verify the Store navigation menu options without dropdown"
"passed","Thu Jun 06 15:15:48 GMT 2024","Thu Jun 06 15:15:52 GMT 2024","4163","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithoutDropdown","testNavigationBarMenuWithoutDropdown","TC_03 Verify the Store navigation menu options without dropdown"
"passed","Thu Jun 06 15:15:43 GMT 2024","Thu Jun 06 15:15:48 GMT 2024","4586","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithoutDropdown","testNavigationBarMenuWithoutDropdown","TC_03 Verify the Store navigation menu options without dropdown"
"passed","Thu Jun 06 15:14:47 GMT 2024","Thu Jun 06 15:14:47 GMT 2024","9","Surefire suite","Surefire test","DependenciesTest","DependenciesTest","testDependencies","testDependencies",""
"passed","Thu Jun 06 15:15:22 GMT 2024","Thu Jun 06 15:15:26 GMT 2024","4141","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithDropdown","testNavigationBarMenuWithDropdown","TC_02 Verify the Store navigation menu options via dropdown"
"passed","Thu Jun 06 15:15:26 GMT 2024","Thu Jun 06 15:15:35 GMT 2024","8762","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithDropdown","testNavigationBarMenuWithDropdown","TC_02 Verify the Store navigation menu options via dropdown"
"passed","Thu Jun 06 15:14:48 GMT 2024","Thu Jun 06 15:14:52 GMT 2024","3839","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testComponentsDropdownNavigation","testComponentsDropdownNavigation","TC_04 Verify the 'Components' category dropdown options navigation"
