"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Search field","0","0","6","0","0"
"","","Cart preview","0","0","4","0","0"
"","","Navigation","0","0","28","0","0"
"","","Cart","0","0","4","0","0"
"","","Product page","0","0","4","0","0"
