"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 14:56:30 GMT 2024","Fri Jun 07 14:56:32 GMT 2024","2822","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithoutDropdown","testNavigationBarMenuWithoutDropdown","TC_03 Verify the Store navigation menu options without dropdown"
"passed","Fri Jun 07 14:56:11 GMT 2024","Fri Jun 07 14:56:14 GMT 2024","2948","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithDropdown","testNavigationBarMenuWithDropdown","TC_02 Verify the Store navigation menu options via dropdown"
"passed","Fri Jun 07 14:56:01 GMT 2024","Fri Jun 07 14:56:04 GMT 2024","2740","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testComponentsDropdownNavigation","testComponentsDropdownNavigation","TC_04 Verify the 'Components' category dropdown options navigation"
"passed","Fri Jun 07 14:56:07 GMT 2024","Fri Jun 07 14:56:10 GMT 2024","3323","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithDropdown","testNavigationBarMenuWithDropdown","TC_02 Verify the Store navigation menu options via dropdown"
"passed","Fri Jun 07 14:56:26 GMT 2024","Fri Jun 07 14:56:29 GMT 2024","2996","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithoutDropdown","testNavigationBarMenuWithoutDropdown","TC_03 Verify the Store navigation menu options without dropdown"
"passed","Fri Jun 07 14:56:04 GMT 2024","Fri Jun 07 14:56:07 GMT 2024","2946","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testComponentsDropdownNavigation","testComponentsDropdownNavigation","TC_04 Verify the 'Components' category dropdown options navigation"
"passed","Fri Jun 07 14:56:17 GMT 2024","Fri Jun 07 14:56:20 GMT 2024","3124","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithDropdown","testNavigationBarMenuWithDropdown","TC_02 Verify the Store navigation menu options via dropdown"
"passed","Fri Jun 07 14:56:20 GMT 2024","Fri Jun 07 14:56:23 GMT 2024","2983","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithoutDropdown","testNavigationBarMenuWithoutDropdown","TC_03 Verify the Store navigation menu options without dropdown"
"passed","Fri Jun 07 14:56:23 GMT 2024","Fri Jun 07 14:56:26 GMT 2024","2785","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithoutDropdown","testNavigationBarMenuWithoutDropdown","TC_03 Verify the Store navigation menu options without dropdown"
"passed","Fri Jun 07 14:55:51 GMT 2024","Fri Jun 07 14:55:51 GMT 2024","6","Surefire suite","Surefire test","DependenciesTest","DependenciesTest","testDependencies","testDependencies",""
"unknown","Fri Jun 07 14:55:51 GMT 2024","Fri Jun 07 14:55:51 GMT 2024","1","Surefire suite","Surefire test","DependenciesTest","DependenciesTest","testIgnoredTest","testIgnoredTest",""
"passed","Fri Jun 07 14:56:33 GMT 2024","Fri Jun 07 14:56:35 GMT 2024","2416","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testOpenStoreBaseURL","TC_01 Verify the Store base URL","Verify the Store base URL is opened via current URL and the page title"
"passed","Fri Jun 07 14:55:55 GMT 2024","Fri Jun 07 14:55:58 GMT 2024","3095","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testComponentsDropdownNavigation","testComponentsDropdownNavigation","TC_04 Verify the 'Components' category dropdown options navigation"
"passed","Fri Jun 07 14:55:58 GMT 2024","Fri Jun 07 14:56:01 GMT 2024","2652","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testComponentsDropdownNavigation","testComponentsDropdownNavigation","TC_04 Verify the 'Components' category dropdown options navigation"
"passed","Fri Jun 07 14:55:52 GMT 2024","Fri Jun 07 14:55:54 GMT 2024","2920","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testComponentsDropdownNavigation","testComponentsDropdownNavigation","TC_04 Verify the 'Components' category dropdown options navigation"
"passed","Fri Jun 07 14:56:14 GMT 2024","Fri Jun 07 14:56:17 GMT 2024","2896","Surefire suite","Surefire test","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationBarMenuWithDropdown","testNavigationBarMenuWithDropdown","TC_02 Verify the Store navigation menu options via dropdown"
